month_number,facecream,facewash,toothpaste,bathingsoap,shampoo,moisturizer,total_profit
1,2500,1500,5200,9200,1200,1500,20000
2,2600,1600,5100,9300,1250,1550,21000
3,2700,1700,5300,9400,1300,1600,22000
4,2800,1800,5400,9500,1350,1650,23000
5,3000,2000,5500,9600,1400,1700,24000
6,3100,2100,5600,9700,1450,1750,25000
7,3200,2200,5700,9800,1500,1800,26000
8,3300,2300,5800,9900,1550,1850,27000
9,3400,2400,5900,10000,1600,1900,28000
10,3500,2500,6000,10100,1650,1950,29000
11,3600,2600,6100,10200,1700,2000,30000
12,3700,2700,6200,10300,1750,2050,31000
